Article.ID,Author,Journal,Year,Consumer.Sp,Habitat,Trophic.Level,Defence,Comparison.ID,mean,n,sd,Trait,n_foods,treat,Trait_type,M.F
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c4,10.09,22,6.919689299,Male.Adult.Longevity,1,single,Longevity,M
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c4,14.46,26,4,Male.Adult.Longevity,1,single,Longevity,M
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c4,15.56,9,3.84666089,Male.Adult.Longevity,2,mix,Longevity,M
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c5,15.53,30,5.708274696,Female.Adult.Longevity,1,single,Longevity,F
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c5,16.61,44,4.459058197,Female.Adult.Longevity,1,single,Longevity,F
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c5,16.91,47,5.358040687,Female.Adult.Longevity,2,mix,Longevity,F
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c6,82.17,30,38.71933496,Egg.Production,1,single,Repro,F
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c6,98.23,44,21.50839836,Egg.Production,1,single,Repro,F
a4,Asgari,Biological and Microbial Control,2020,Amblyseius_swirskii,Terrestrial,Secondary.Consumer,N,c6,110.21,47,29.43531213,Egg.Production,2,mix,Repro,F
a5,Azevedo,Biological control,2019,Macrocheles_embersoni,Terrestrial,Secondary.Consumer,N,c7,1.1,10,0.3,Fecundity,1,single,Repro,F
a5,Azevedo,Biological control,2019,Macrocheles_embersoni,Terrestrial,Secondary.Consumer,N,c7,1,10,0.42,Fecundity,1,single,Repro,F
a5,Azevedo,Biological control,2019,Macrocheles_embersoni,Terrestrial,Secondary.Consumer,N,c7,1.3,10,0.51,Fecundity,2,mix,Repro,F
a6,Basch,Marine Biology,1996,Asterina_miniata,Marine,Primary.Consumer,N,c8,1141.826914,15,164.0797528,Body.Length,1,single,Size,any
a6,Basch,Marine Biology,1996,Asterina_miniata,Marine,Primary.Consumer,N,c8,1085.708662,15,138.2407936,Body.Length,2,mix,Size,any
a7,Basen,Physiological Ecology,2012,Corbicula_fluminea,Marine,Primary.Consumer,N,c9,0.004178273,10,0.003203,Growth.Rate,1,single,Size,any
a7,Basen,Physiological Ecology,2012,Corbicula_fluminea,Marine,Primary.Consumer,N,c9,0.003551532,10,0.001532,Growth.Rate,1,single,Size,any
a7,Basen,Physiological Ecology,2012,Corbicula_fluminea,Marine,Primary.Consumer,N,c9,0.00689415,10,0.003134,Growth.Rate,1,single,Size,any
a7,Basen,Physiological Ecology,2012,Corbicula_fluminea,Marine,Primary.Consumer,N,c9,0.005362117,10,0.003064,Growth.Rate,3,mix,Size,any
a8,Beckman,Environmental Entomolgy,2003,Tenodera_aridifolia_sinensis,Terrestrial,Secondary.Consumer,N,c10,0.479007128,12,0.246993158,Mass.gain,1,single,Size,any
a8,Beckman,Environmental Entomolgy,2003,Tenodera_aridifolia_sinensis,Terrestrial,Secondary.Consumer,N,c10,1.694831324,13,0.193507798,Mass.gain,1,single,Size,any
a8,Beckman,Environmental Entomolgy,2003,Tenodera_aridifolia_sinensis,Terrestrial,Secondary.Consumer,N,c10,2.014910242,13,0.24729442,Mass.gain,2,mix,Size,any
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c11,11.70014951,50,5.610421038,Egg.production,1,single,Repro,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c11,8.487502717,50,4.529697338,Egg.production,1,single,Repro,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c11,5.476693203,50,3.854733436,Egg.production,1,single,Repro,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c11,11.40162391,50,4.139933323,Egg.production,2,mix,Repro,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c11,9.124547887,50,3.572963789,Egg.production,2,mix,Repro,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c11,8.321886384,50,4.856925174,Egg.production,2,mix,Repro,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c12,0.451555092,50,0.089935348,Growth.rate,1,single,Size,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c12,0.333917113,50,0.067493654,Growth.rate,1,single,Size,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c12,0.222139027,50,0.093896783,Growth.rate,1,single,Size,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c12,0.445442032,50,0.053164747,Growth.rate,2,mix,Size,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c12,0.390004022,50,0.058326337,Growth.rate,2,mix,Size,F
a9,Bednarska,Journal of Plankton Research,2014,Daphnia_magna,Marine,Primary.Consumer,N,c12,0.319710942,50,0.044969957,Growth.rate,2,mix,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c13,77.17768128,19,15.26342965,Growth.Rate,1,single,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c13,72.36277571,19,14.49815698,Growth.Rate,1,single,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c13,77.07810928,19,16.7917632,Growth.Rate,1,single,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c13,90.24820014,19,18.31346145,Growth.Rate,3,mix,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c14,32.95311775,15,6.727613935,Growth.Rate,1,single,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c14,40.90688715,15,7.402520987,Growth.Rate,1,single,Size,F
a10,Bernays,Ecology,1994,Schistocerca_americana,Terrestrial,Primary.Consumer,N,c14,65.26814061,15,12.11321616,Growth.Rate,3,mix,Size,F
a11,Bilde,Entomologica Experimentalis et Applicata,1994,Agonum_dorsale,Terrestrial,Secondary.Consumer,N,c15,1,10,1.247,Egg.Production,1,single,Repro,F
a11,Bilde,Entomologica Experimentalis et Applicata,1994,Agonum_dorsale,Terrestrial,Secondary.Consumer,N,c15,2.9,10,2.558,Egg.Production,1,single,Repro,F
a11,Bilde,Entomologica Experimentalis et Applicata,1994,Agonum_dorsale,Terrestrial,Secondary.Consumer,N,c15,0.5,10,0.707,Egg.Production,1,single,Repro,F
a11,Bilde,Entomologica Experimentalis et Applicata,1994,Agonum_dorsale,Terrestrial,Secondary.Consumer,N,c15,5.6,10,2.716,Egg.Production,3,mix,Repro,F
a12,Blanchard,Aquatic Living Resources,2008,Crassostrea_gigas,Marine,Primary.Consumer,N,c16,232.4,300,39.084,Size,1,single,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crassostrea_gigas,Marine,Primary.Consumer,N,c16,199.7,300,33.929,Size,1,single,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crassostrea_gigas,Marine,Primary.Consumer,N,c16,172.4,300,24.364,Size,1,single,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crassostrea_gigas,Marine,Primary.Consumer,N,c16,260.9,300,44.574,Size,3,mix,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crepidula_fornicata,Marine,Primary.Consumer,N,c17,738.8,60,47.176,Size,1,single,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crepidula_fornicata,Marine,Primary.Consumer,N,c17,730.7,60,58.193,Size,1,single,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crepidula_fornicata,Marine,Primary.Consumer,N,c17,718.8,60,50.116,Size,1,single,Size,any
a12,Blanchard,Aquatic Living Resources,2008,Crepidula_fornicata,Marine,Primary.Consumer,N,c17,796.1,60,50.545,Size,3,mix,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c18,6.178571429,38,2.161331438,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c18,5.196428571,38,1.551725135,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c18,7.910714286,38,1.49630638,Egg.Production,2,mix,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c23,1.714285714,38,0.886700077,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c23,3.642857143,38,1.551725135,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c23,3.446428571,38,1.052956342,Egg.Production,2,mix,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c24,3.571428571,38,1.219212606,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c24,5.267857143,38,1.551725135,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c24,5.517857143,38,1.219212606,Egg.Production,2,mix,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c25,4.785714286,38,1.939656419,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c25,6.232142857,38,1.385468871,Egg.Production,1,single,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c25,7.178571429,38,1.551725135,Egg.Production,2,mix,Repro,F
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c19,1.224232866,38,0.085258997,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c19,1.279177517,38,0.109131517,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c19,1.306651311,38,0.095490077,Size,2,mix,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c20,1.32098827,38,0.068207198,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c20,1.372634776,38,0.08867391,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c20,1.392417785,38,0.071613005,Size,2,mix,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c21,1.401317498,38,0.102306244,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c21,1.461756615,38,0.10231535,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c21,1.514504948,38,0.122772956,Size,2,mix,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c22,1.44615204,38,0.09890499,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c22,1.420877501,38,0.126183316,Size,1,single,Size,any
a13,Boersma,Hydrobiologia,1995,Daphnia_galeata,Marine,Primary.Consumer,N,c22,1.603296679,38,0.095485524,Size,2,mix,Size,any
a14,Borg,Wildlife Biology,1999,Perdix_perdix,Terrestrial,Secondary.Consumer,N,c26,20.73207547,15,1.680215959,Live.Weight,1,single,Size,any
a14,Borg,Wildlife Biology,1999,Perdix_perdix,Terrestrial,Secondary.Consumer,N,c26,21.63018868,15,1.680215959,Live.Weight,2,mix,Size,any
a15,Bouvet,Biological Control,2019,Scymus_interruptus,Terrestrial,Secondary.Consumer,N,c27,115.69,14,5.840993066,Fecundity,1,single,Repro,F
a15,Bouvet,Biological Control,2019,Scymus_interruptus,Terrestrial,Secondary.Consumer,N,c27,158.69,14,6.886602936,Fecundity,1,single,Repro,F
a15,Bouvet,Biological Control,2019,Scymus_interruptus,Terrestrial,Secondary.Consumer,N,c27,174,14,7.968268319,Fecundity,2,mix,Repro,F
a15,Bouvet,Biological Control,2019,Scymus_subvillosus,Terrestrial,Secondary.Consumer,N,c28,261.29,15,15.04146269,Fecundity,1,single,Repro,F
a15,Bouvet,Biological Control,2019,Scymus_subvillosus,Terrestrial,Secondary.Consumer,N,c28,272.86,15,12.60938539,Fecundity,1,single,Repro,F
a15,Bouvet,Biological Control,2019,Scymus_subvillosus,Terrestrial,Secondary.Consumer,N,c28,361.82,15,12.04813679,Fecundity,2,mix,Repro,F
a15,Bouvet,Biological Control,2019,Scymus_interruptus,Terrestrial,Secondary.Consumer,N,c300,17.78,51,1.272792206,Developmental.Time,1,single,DevTime,any
a15,Bouvet,Biological Control,2019,Scymus_interruptus,Terrestrial,Secondary.Consumer,N,c300,16.82,51,1.13137085,Developmental.Time,1,single,DevTime,any
a15,Bouvet,Biological Control,2019,Scymus_interruptus,Terrestrial,Secondary.Consumer,N,c300,16.77,51,0.848528137,Developmental.Time,2,mix,DevTime,any
a15,Bouvet,Biological Control,2019,Scymus_subvillosus,Terrestrial,Secondary.Consumer,N,c301,17.42,51,1.626345597,Developmental.Time,1,single,DevTime,any
a15,Bouvet,Biological Control,2019,Scymus_subvillosus,Terrestrial,Secondary.Consumer,N,c301,16.13,51,1.13137085,Developmental.Time,1,single,DevTime,any
a15,Bouvet,Biological Control,2019,Scymus_subvillosus,Terrestrial,Secondary.Consumer,N,c301,16.51,51,1.343502884,Developmental.Time,2,mix,DevTime,any
a16,Brugnano,Chemistry and Ecology,2008,Pseudocyclops_xiphophorus,Marine,Primary.Consumer,N,c29,2.74,5,1.8,Daily.Egg.Production,1,single,Repro,F
a16,Brugnano,Chemistry and Ecology,2008,Pseudocyclops_xiphophorus,Marine,Primary.Consumer,N,c29,3.23,5,1.2,Daily.Egg.Production,4,mix,Repro,F
a17,Brundu,Aquaculture,2016,Paracentrotus_lividus,Marine,Primary.Consumer,N,c30,6.4,200,2.821347196,Diameter,1,single,Size,any
a17,Brundu,Aquaculture,2016,Paracentrotus_lividus,Marine,Primary.Consumer,N,c30,6.6,200,2.821347196,Diameter,2,mix,Size,any
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,33.3,20,11.85620513,Female.Longevity,1,single,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,17.9,20,2.658928356,Female.Longevity,1,single,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,52.1,20,20.53041402,Female.Longevity,1,single,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,14.4,20,1.787148567,Female.Longevity,2,mix,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,49.9,20,7.322950225,Female.Longevity,2,single,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,48.7,20,14.51513348,Female.Longevity,2,single,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c31,48,20,16.69458295,Female.Longevity,3,single,Longevity,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,11.8,20,10.06905656,Fecundity,1,single,Repro,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,46.5,20,19.00479939,Fecundity,1,single,Repro,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,190.3,20,33.12763197,Fecundity,1,single,Repro,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,38.2,20,7.628073151,Fecundity,2,mix,Repro,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,187.7,20,23.36369834,Fecundity,2,single,Repro,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,185.2,20,14.16642157,Fecundity,2,single,Repro,F
a18,Calixto,Biocontrol Science and Technology,2013,Orius_insidiosus,Terrestrial,Secondary.Consumer,N,c32,193.6,20,17.87148567,Fecundity,3,single,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,21,24,6.276941931,Egg.Production,1,single,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,18.65,24,4.527692569,Egg.Production,1,single,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,13,24,4.893873721,Egg.Production,1,single,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,10.025,24,3.962322551,Egg.Production,1,single,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,30.25,24,13.4591976,Egg.Production,2,mix,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,30.325,24,7.010706099,Egg.Production,2,mix,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,23.55,24,6.614378278,Egg.Production,2,mix,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,18.825,24,5.361902647,Egg.Production,2,mix,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,16.55,24,4.701063709,Egg.Production,2,mix,Repro,F
a19,Camus,Aquaculture,2009,Bestiolina_similis,Marine,Primary.Consumer,N,c33,44.1,24,8.529361055,Egg.Production,3,mix,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,5.703225806,17,1.961290323,Female.Longevity,1,single,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,6.348387097,17,2.477419355,Female.Longevity,1,single,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,3.070967742,17,0.929032258,Female.Longevity,1,single,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,3.561290323,17,1.135483871,Female.Longevity,1,single,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,4.387096774,17,1.135483871,Female.Longevity,2,mix,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,5.677419355,17,1.548387097,Female.Longevity,2,mix,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,5.316129032,17,1.44516129,Female.Longevity,2,mix,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,3.148387097,17,1.135483871,Female.Longevity,2,mix,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,3.406451613,17,1.238709677,Female.Longevity,2,mix,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c34,5.909677419,17,1.44516129,Female.Longevity,3,mix,Longevity,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,85.5907781,10,20.23054755,Egg.Production,1,single,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,84.03458213,10,14.00576369,Egg.Production,1,single,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,20.74927954,10,7.780979827,Egg.Production,1,single,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,32.68011527,10,12.44956772,Egg.Production,1,single,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,118.2708934,10,24.89913545,Egg.Production,2,mix,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,99.59654179,10,17.11815562,Egg.Production,2,mix,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,127.6080692,10,32.68011527,Egg.Production,2,mix,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,46.68587896,10,14.00576369,Egg.Production,2,mix,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,60.69164265,10,15.56195965,Egg.Production,2,mix,Repro,F
a20,Camus,Aquaculture Research,2010,Bestiolina_similis,Marine,Primary.Consumer,N,c35,156.1383285,10,34.23631124,Egg.Production,3,mix,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,13.56,6,2.435803897,Daily.Naupliar.Production,1,single,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,9.04,6,1.826852923,Daily.Naupliar.Production,1,single,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,8.82,6,3.897286235,Daily.Naupliar.Production,1,single,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,7.52,6,3.044754871,Daily.Naupliar.Production,1,single,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,19.44,6,3.77549604,Daily.Naupliar.Production,2,mix,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,11.22,6,3.77549604,Daily.Naupliar.Production,2,mix,Repro,F
a21,Camus,Aquaculture Research,2012,Euterpina_acutifrons,Marine,Primary.Consumer,N,c36,10.02,6,3.653705846,Daily.Naupliar.Production,2,mix,Repro,F
