Species,Adult_wet_mass_g,Lower (g),Upper (g),Reference,DOI/URL,Data type
Crassostrea_gigas,97,69,135,"Adult cultured oysters, mean values across groups",Oyster growth study,Measured
Crassostrea_virginica,23,Ñ,Ñ,Whole-organism wet-weight dataset; oyster mean,PLOS study,Measured
Crepidula_fornicata,15,Ñ,Ñ,Adult live-mass estimate,Ñ,Estimated
Cycloneda_sanguinea,0.0147,Ñ,Ñ,Adult weight reported in biological study,Agropecu‡ria TŽcnica study,Measured
Cyclopina_kasignete,0.000015,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Cylindrotoma_distinctissima,0.03,Ñ,Ñ,Adult insect estimate,Ñ,Estimated
Cymadusa_compta,0.02,Ñ,Ñ,Adult amphipod estimate,Ñ,Estimated
Daphnia_galeata,0.002,Ñ,Ñ,Adult cladoceran estimate,Ñ,Estimated
Daphnia_magna,~0.0033,Ñ,Ñ,Adult wet-weight measurement,Daphnia study,Measured/calculated
Deraeocoris_signatus,0.006,Ñ,Ñ,Adult mirid estimate,Ñ,Estimated
Dicyphus_hesperus,0.005,Ñ,Ñ,Adult mirid estimate,Ñ,Estimated
Discoglossus_galganoi,21.8,Ñ,Ñ,Adult body-weight database value,Species record,Measured/database
Doru_luteipes,0.025,Ñ,Ñ,Adult earwig estimate,Ñ,Estimated
Erigone_atra,0.002,Ñ,Ñ,Adult spider estimate,Ñ,Estimated
Euseius_concordis,0.000003,Ñ,Ñ,Adult phytoseiid estimate,Ñ,Estimated
Euterpina_acutifrons,0.0000044,Ñ,Ñ,Adult female mean fresh weight 4.4 µg,Euterpina wet-weight record,Measured
Farfantepenaeus_paulensis,37.5,29,46,Broodstock males/females: 29 and 46 g,Aquaculture study,Measured
Frankliniella_occidentalis,0.0002,Ñ,Ñ,Adult thrips estimate,Ñ,Estimated
Gaeolaelaps_aculeifer,0.00002,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Gammarus_mucronatus,0.05,Ñ,Ñ,Adult amphipod estimate,Ñ,Estimated
Geocoris_punctipes,~0.011,Ñ,Ñ,Adult body-mass experimental dataset,Ecological-risk study,Measured
Grammia_geneura,0.2,Ñ,Ñ,Adult moth estimate,Ñ,Estimated
Grammia_incorrupta,0.2,Ñ,Ñ,Adult moth estimate,Ñ,Estimated
Haliotis_discus,50,Ñ,Ñ,Adult abalone estimate,Ñ,Estimated
Haliotis_iris,493,289,526,Adult wet weights from Chatham Islands populations,Haliotis iris study,Measured
Haliotis_midae,53.6,Ñ,Ñ,Adult mean wet weight,Haliotis midae study,Measured
Haliotis_rufescens,100,Ñ,Ñ,Live-weight estimate,Seafood Watch report,Estimated
Haliotis_tuberculata,50,Ñ,Ñ,Adult live-mass estimate,Ñ,Estimated
Hippocampus_kuda,~7,4,10,Adult males/females reported 4Ð10 g,H. kuda length-weight study,Measured
Hoppodamia_variegata,0.025,Ñ,Ñ,Adult ladybird estimate,Ñ,Estimated
Hyla_arborea,9.5,Ñ,Ñ,Adult weight database value,Species record,Database
Hyla_meridionalis,7,Ñ,Ñ,Adult frog estimate,Ñ,Estimated
Iphiseiodes_zuluagai,0.000003,Ñ,Ñ,Adult phytoseiid estimate,Ñ,Estimated
Limnephilus_indivisus,0.08,Ñ,Ñ,Adult caddisfly estimate,Ñ,Estimated
Loxechinus_albus,~494,33,494,Ultimate wet weight in DEB database,DEB Loxechinus record,Calculated/database
Lygaeus_equestris,0.02,Ñ,Ñ,Adult bug estimate,Ñ,Estimated
Macrocheles_embersoni,0.00005,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Macrolophus_costalis,0.005,Ñ,Ñ,Adult mirid estimate,Ñ,Estimated
Macrolophus_pygmaeus,0.0006,0.0004,0.0009,Adult male/female body weight,Macrolophus body-weight study,Measured
Macrosetella_gracilis,0.00002,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Mercenaria_mercenaria,~50,5,285,Species wet-weight range used in physiological study,Mercenaria study,Measured/range
Meretrix_meretrix,19.1,17.1,21.2,Mean ± SD wet weight,Bivalve study,Measured
Merops_apiaster,52,44,78,Adult body mass,Animal Diversity Web,Database
Miramella_alpina,0.4,Ñ,Ñ,Adult grasshopper estimate,Ñ,Estimated
Moina_belli,0.001,Ñ,Ñ,Adult cladoceran estimate,Species record,Estimated
Mytilus_edulis,~6.4,Ñ,Ñ,Live wet-weight biomass dataset,Bivalve biomass study,Calculated
Nabis_roseipennis,0.015,Ñ,Ñ,Adult nabid estimate,Ñ,Estimated
Naemia_seriata,0.025,Ñ,Ñ,Adult ladybird estimate,Ñ,Estimated
Neoseiulus_californicus,0.000003,Ñ,Ñ,Adult phytoseiid estimate,Ñ,Estimated
Nitocra_affinis,0.00001,Ñ,Ñ,Adult harpacticoid estimate,Ñ,Estimated
Oligolophus_tridens,0.02,Ñ,Ñ,Adult harvestman estimate,Ñ,Estimated
Orchelimum_fidicinium,0.4,Ñ,Ñ,Adult katydid estimate,Ñ,Estimated
Orius_albidipennis,0.0015,Ñ,Ñ,Adult anthocorid estimate,Ñ,Estimated
Orius_insidiosus,0.0015,Ñ,Ñ,Adult anthocorid estimate,Ñ,Estimated
Orius_laevigatus,<0.0004,Ñ,0.0004,Adult body weight of commercial population,Pest Management Science study,Measured
Orius_majusculus,0.002,Ñ,Ñ,Adult anthocorid estimate,Ñ,Estimated
Orius_sauteri,0.0015,Ñ,Ñ,Adult anthocorid estimate,Ñ,Estimated
Ostrea_edulis,~57.8,23.3,148.3,Small/large adult live weights,Ostrea edulis study,Measured
Pachygrapsus_crassipes,15,Ñ,Ñ,Adult crab estimate,Ñ,Estimated
Palaemonetes_vulgaris,1,Ñ,Ñ,Adult shrimp estimate,Ñ,Estimated
Panopeus_herbstii,Ñ,Ñ,Ñ,Adult animals measured for size; wet weight not reported,Panopeus study,Not determined
Paracentrotus_lividus,~50,19.2,100.1,Adult male/female wet weights,Recent P. lividus study,Measured
Paracyclopina_nana,0.00001,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Parapodisma_subastris,0.15,Ñ,Ñ,Adult grasshopper estimate,Ñ,Estimated
Parasitus_bituberosus,0.0001,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Pardosa_lugubris,0.03,Ñ,Ñ,Adult spider estimate,Ñ,Estimated
Pardosa_prativaga,0.025,Ñ,Ñ,Adult spider estimate,Ñ,Estimated
Parvocalanus_crassirostris,0.00001,Ñ,Ñ,Adult copepod estimate,Species literature record,Estimated
Penaeus_aztecus,15,Ñ,Ñ,Adult shrimp estimate,Ñ,Estimated
Penaeus_setiferus,15,Ñ,Ñ,Adult shrimp estimate,Ñ,Estimated
Perdix_perdix,~380,300,500,Adult body mass,Animal Diversity Web,Database/measured
Phyllodiaptomus_blanci,0.00003,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Phytoseius_finitimus,0.000003,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Pinctada_maxima,100,Ñ,Ñ,Adult live-mass estimate,Ñ,Estimated
Pisaster_ochraceus,~200,170,260,Common adult size class; maturity at 70Ð90 g,Pisaster study,Measured/range
Podisus_maculiventris,0.07,Ñ,Ñ,Adult body-weight literature,AESA study,Estimated/measured
Pomacea_canaliculata,30,Ñ,Ñ,Adult snail estimate,Ñ,Estimated
Procambarus_clarkii,28.8,25,32,Adult field specimens,Procambarus study,Measured
Pronematus_ubiquitus,0.000002,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Proprioseiopsis_mexicanus,0.000003,Ñ,Ñ,Adult mite estimate,Ñ,Estimated
Pseudocyclops_xiphophorus,0.00002,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Pseudodiaptomus_hessei,0.00003,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Pseudodiaptomus_pelagicus,0.00003,Ñ,Ñ,Adult copepod estimate,Ñ,Estimated
Ruditapes_philippinarum,8.68,7.41,9.95,Mean ± SD wet weight,Bivalve study,Measured
Saccostrea_glomerata,30,Ñ,Ñ,Adult oyster estimate,Ñ,Estimated
Schistocerca_americana,1.782,Ñ,Ñ,"Adult body mass, experimental adults",Journal of Experimental Biology study,Measured
Schizocosa_stridulans,0.1,Ñ,Ñ,Adult spider estimate,Ñ,Estimated
Scymus_interruptus,0.002,Ñ,Ñ,Adult ladybird estimate,Ñ,Estimated
Scymus_subvillosus,0.002,Ñ,Ñ,Adult ladybird estimate,Ñ,Estimated
Solea_solea,~300,23,371,Adult fish lengthÐweight studies,Common sole length-weight study,Calculated/measured
Spirobranchus_cariniferus,0.5,Ñ,Ñ,Adult polychaete estimate,Ñ,Estimated
Spisula_solidissima,100,Ñ,Ñ,Adult bivalve estimate,Ñ,Estimated
Strombus_gigas,1000,Ñ,Ñ,Adult queen-conch estimate,Ñ,Estimated
Strongylocentrotus_droebachiensis,64.5,61.1,67.9,Mean adult wet body weight,Aquaculture study,Measured
Strongylocentrotus_intermedius,100,Ñ,Ñ,Adult sea-urchin estimate,Ñ,Estimated
Strongylocentrotus_purpuratus,80,Ñ,Ñ,Adult sea-urchin estimate,Ñ,Estimated
Tenodera_aridifolia_sinensis,1,Ñ,Ñ,Adult mantid estimate,Canadian insect reference,Estimated
Tisbe_biminiensis,0.00001,Ñ,Ñ,Adult harpacticoid estimate,Species literature record,Estimated
Tripneustes_gratilla,197.7,188,203,Mean wet weight after 18-week culture,Aquaculture Research study,Measured
Turbo_sarmaticus,100,Ñ,Ñ,Adult gastropod estimate,Ñ,Estimated
